dataset,table,column,type,class,pii,description
plan,plan_mtp_multiyear,MTP Amount,"NUMERIC(18, 2)",measure_commitment,,"The medium-term plan amount for this project and year, in dollars."
plan,plan_mtp_multiyear,Prior Issue Amount,"NUMERIC(18, 2)",measure_commitment,,What the previous MTP issue planned for the same year.
plan,plan_mtp_multiyear,Issue Movement,"NUMERIC(18, 2)",measure,,MTP Amount less Prior Issue Amount.
plan,plan_mtp_multiyear,Year 1 Amount,"NUMERIC(18, 2)",measure_commitment,,"The first year of the horizon, as this issue plans it."
plan,plan_mtp_multiyear,Year 2 Amount,"NUMERIC(18, 2)",measure_commitment,,The second year of the horizon.
plan,plan_mtp_multiyear,Year 3 Amount,"NUMERIC(18, 2)",measure_commitment,,The third year of the horizon.
plan,plan_mtp_multiyear,Year 4 Amount,"NUMERIC(18, 2)",measure_commitment,,The fourth year of the horizon.
plan,plan_mtp_multiyear,Year 5 Amount,"NUMERIC(18, 2)",measure_commitment,,The fifth year of the horizon.
plan,plan_mtp_multiyear,Year 6 Amount,"NUMERIC(18, 2)",measure_commitment,,The sixth year of the horizon.
plan,plan_mtp_multiyear,Year 7 Amount,"NUMERIC(18, 2)",measure_commitment,,The seventh year of the horizon.
plan,plan_mtp_multiyear,Horizon Total,"NUMERIC(18, 2)",period_accumulation,,The seven years accumulated - the figure the optimizer preserves.
plan,plan_mtp_multiyear,Approved By,STRING,person,true,Who approved the issue. PII.
plan,plan_mtp_multiyear,Approved On,DATE,date,,When it was approved.
plan,plan_mtp_multiyear,Board Paper Reference,STRING,text,,The board paper the approval is recorded in.
plan,plan_mtp_multiyear,Region,STRING,geography,,The operating region the project sits in.
plan,plan_mtp_multiyear,Business Unit,STRING,organisation,,The reporting business unit.
plan,plan_mtp_multiyear,Is Committed,BOOL,flag,,Whether the year is committed rather than indicative.
plan,plan_mtp_multiyear,Source System,STRING,text,,Which system produced the row.
plan,plan_calendarization,Project Code,STRING,identifier,,The capital project key.
plan,plan_calendarization,Version,STRING,dimension,,The version the annual budget being calendarized belongs to.
plan,plan_calendarization,Scenario,STRING,dimension,,The cube Scenario member.
plan,plan_calendarization,Fiscal Year,STRING,classification,,The fiscal year being spread across months.
plan,plan_calendarization,Period,STRING,dimension,,The month member the amount lands in.
plan,plan_calendarization,Month Number,INT64,classification,,"The month ordinal within the fiscal year, 1 to 12."
plan,plan_calendarization,Annual Budget,"NUMERIC(18, 2)",measure_commitment,,"The annual figure being calendarized, in dollars."
plan,plan_calendarization,Calendarized Amount,"NUMERIC(18, 2)",measure_commitment,,What this month takes of it.
plan,plan_calendarization,Calendarization Percent,"NUMERIC(18, 2)",derived_ratio,,Calendarized Amount over Annual Budget.
plan,plan_calendarization,Profile Applied,STRING,classification,,"The profile the January run applied - linear, seasonal or manual."
plan,plan_calendarization,Seasonality Factor,"NUMERIC(18, 2)",derived_ratio,,The factor the profile applied to this month.
plan,plan_calendarization,Working Days,INT64,measure,,"Working days in the month, where the profile is day-weighted."
plan,plan_calendarization,Account,STRING,dimension,,The cube Account member.
plan,plan_calendarization,Phase,STRING,dimension,,The project phase the month is planned in.
plan,plan_calendarization,Business Unit,STRING,organisation,,The reporting business unit.
plan,plan_calendarization,Region,STRING,geography,,The operating region.
plan,plan_calendarization,Calendarized On,DATE,date,,When the January run wrote this row.
plan,plan_calendarization,Calendarized By,STRING,person,true,Who ran it. PII.
plan,plan_calendarization,Is Overridden,BOOL,flag,,Whether a planner has overridden the profile for this month.
plan,plan_calendarization,Override Reason,STRING,text,,"Why, where it has been overridden."
plan,plan_optimization_profile,Project Code,STRING,identifier,,The capital project key.
plan,plan_optimization_profile,Fiscal Year,STRING,classification,,The year the re-phasing moves amounts into or out of.
plan,plan_optimization_profile,Version,STRING,dimension,,The version the optimized amounts are written to.
plan,plan_optimization_profile,Scenario,STRING,dimension,,The cube Scenario member.
plan,plan_optimization_profile,Original Amount,"NUMERIC(18, 2)",measure_commitment,,"What the year held before the run, in dollars."
plan,plan_optimization_profile,Optimized Amount,"NUMERIC(18, 2)",measure_commitment,,What the run moved it to.
plan,plan_optimization_profile,Rephasing Movement,"NUMERIC(18, 2)",measure,,Optimized Amount less Original Amount.
plan,plan_optimization_profile,Multi Year Total,"NUMERIC(18, 2)",period_accumulation,,The multi-year total the run is required to preserve.
plan,plan_optimization_profile,Total Preserved,BOOL,flag,,"Whether the run preserved that total, which is its one hard constraint."
plan,plan_optimization_profile,Optimization Run,STRING,identifier,,"The run key, so a re-phasing can be traced back to the solve that produced it."
plan,plan_optimization_profile,Objective,STRING,classification,,"What the run optimized for - deliverability, cash or in-service date."
plan,plan_optimization_profile,Constraint Set,STRING,text,,The constraints the run was given.
plan,plan_optimization_profile,Iterations,INT64,measure,,How many iterations the solver took.
plan,plan_optimization_profile,Solver Status,STRING,lifecycle_state,,"How the solve ended: optimal, feasible or infeasible."
plan,plan_optimization_profile,Ran On,TIMESTAMP,date,,When the run executed.
plan,plan_optimization_profile,Ran By,STRING,person,true,Who ran it. PII.
plan,plan_optimization_profile,Accepted,BOOL,flag,,Whether a planner accepted the re-phasing into the working plan.
plan,plan_optimization_profile,Accepted On,DATE,date,,When it was accepted.
